id,country_code,lang,user,tweet_text_orginal,tweet_text_en,tweet_date,context_annotations
1235249833528766465,NO,no,"Response(data=<User id=20796069 name=Jens Stoltenberg username=jensstoltenberg>, includes={}, errors=[], meta={})","Good to be in Zagreb during Croatia's 1st presidency of the Council of the EU. In a complex world, #NATO-EU cooperation is more important than ever. Thanks to President Milanović &amp; PM @AndrejPlenkovic for substantive discussions, including on Afghanistan, Syria &amp; Western Balkans. https://t.co/mMRPXEIAGD",good to be in zagreb during croatias st presidency of the council of the eu in a complex world #natoeu cooperation is more important than ever thanks to president milanović amp pm for substantive discussions including on afghanistan syria amp western balkans,2020-03-04 17:04:44+00:00,"[{'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '1016738021939351558', 'name': 'North Atlantic Treaty Organization', 'description': 'North Atlantic Treaty Organization'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1016738021939351558', 'name': 'North Atlantic Treaty Organization', 'description': 'North Atlantic Treaty Organization'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1068583660914266113', 'name': 'Government institutions', 'description': 'Political Body'}}]"
1235321043147001857,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})",Greta Thunberg brands EU's new climate law 'surrender' https://t.co/XOXRGDp0MN,greta thunberg brands eus new climate law surrender,2020-03-04 21:47:42+00:00,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1118130254759915520', 'name': 'Greta Thunberg', 'description': 'Greta Thunberg'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1118130254759915520', 'name': 'Greta Thunberg', 'description': 'Greta Thunberg'}}]"
1235318330053054468,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})","Brussels’ climate law comes under attack from activists via @FT

Greta Thunberg and other campaigners have dismissed new emissions targets as unambitious https://t.co/UfYIU0KbNX",brussels’ climate law comes under attack from activists via greta thunberg and other campaigners have dismissed new emissions targets as unambitious,2020-03-04 21:36:55+00:00,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1118130254759915520', 'name': 'Greta Thunberg', 'description': 'Greta Thunberg'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1118130254759915520', 'name': 'Greta Thunberg', 'description': 'Greta Thunberg'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029267663', 'name': 'Financial Times'}}, {'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '840161214890106880', 'name': 'Business news', 'description': 'Business & Finance News'}}]"
1235317657924186112,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})",https://t.co/o15xdFxH7Q,,2020-03-04 21:34:15+00:00,[]
1235317301076992001,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})",https://t.co/tpZeUXmspC,,2020-03-04 21:32:50+00:00,[]
1235317183187750913,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})",A Trump Insider Embeds Climate Denial in Scientific Research https://t.co/9JmeIm9WJs,a trump insider embeds climate denial in scientific research,2020-03-04 21:32:22+00:00,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '799022225751871488', 'name': 'Donald Trump', 'description': '45th US President, Donald Trump'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}]"
1235212128015044609,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})","Coronavirus leads to sharp fall in China’s carbon emissions https://t.co/Xfzd2AZ1Pu
Slowdown wipes out equivalent of Germany’s annual total in just one month https://t.co/MKmL39Rs4Z",coronavirus leads to sharp fall in china’s carbon emissions slowdown wipes out equivalent of germany’s annual total in just one month,2020-03-04 14:34:55+00:00,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1219057585707315201', 'name': 'COVID-19: Latest news updates from around the world', 'description': 'This page is a timeline of Tweets with the latest information and updates on COVID-19 from experts, journalists, health authorities and other trusted sources from around the world. For more on COVID-19, visit: twitter.com/explore/tabs/covid-19'}}]"
1235207368075440133,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})","‘Things don’t look promising’: California primed for wildfires amid unusually dry weather https://t.co/zLMk4wU3rB
February saw record low rainfall across the state https://t.co/d0s0FDiBtW",‘things don’t look promising’ california primed for wildfires amid unusually dry weather february saw record low rainfall across the state,2020-03-04 14:16:00+00:00,[]
1235160307917402112,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})","North Sea dams could save Europe’s coasts https://t.co/tn3RYG3gTs
There is a way to stop Europe’s coastal cities from vanishing below the waves – enclose the North Sea. But there’s a simpler solution. https://t.co/vwPRb4rRiV",north sea dams could save europe’s coasts there is a way to stop europe’s coastal cities from vanishing below the waves – enclose the north sea but there’s a simpler solution,2020-03-04 11:09:00+00:00,[]
1235154878856679424,NO,no,"Response(data=<User id=75742264 name=Svein Tveitdal username=tveitdal>, includes={}, errors=[], meta={})","NEWS ALERT https://t.co/K3e0PeH2LE
Will Marsh drop the Adani contract? https://t.co/mK4yztZSHv",news alert will marsh drop the adani contract,2020-03-04 10:47:25+00:00,[]
