id,country_code,lang,user,tweet_text_orginal,tweet_text_en,tweet_date,context_annotations
1234249601517047814,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","Хвала @AIPAC на изузетној части да говорим на конференцији.
Поносни смо на историјско пријатељство са јеврејским народом. Ми волимо Јевреје и радићемо на даљем унапређењу наших односа. #Srbija #Izrael https://t.co/t8ZTkM3qBG",thanks on an exceptional honor to speak at the conference we are proud of the historical friendship with the jewish people we love jews and we will work on further improving our relationships #srbija #atrael,2020-03-01 22:50:10+00:00,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit - Government/Education'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042671120', 'name': 'AIPAC'}}]"
1234183480625553410,RS,sr,"Response(data=<User id=205153283 name=Dragan Djilas username=DraganDjilas>, includes={}, errors=[], meta={})","Ovakvih snimaka, kao ni onih kada ih izbacuju iz zgrade, nije bilo pre godinu, dve dana. Ljudima je previše svega i oslobađaju se straha. Bojkot! 

https://t.co/SHlV7rLB4W",several recordings like no ones when they throw them out of the building wasnt a year two days ago its too much of everything and get rid of fear boycott,2020-03-01 18:27:26+00:00,[]
1234196504123969536,RS,sr,"Response(data=<User id=834073582514888710 name=Marinika Tepić username=MarinikaTepic>, includes={}, errors=[], meta={})","Da li stel primetili suptilnu, ali vrlo podmuklu podkampanju za umivanje Vučića:
dižu se priče u kojima napadaju lokalne naprednjačke prvake, dok Vučića brane kako on, jadan, ništa u Beogradu ne zna o nedelima svojih na lokalu?!

...dok oni bratiji pune crne kese za ""Beograd""!","did stel noticed a subtle but very insidious subcamping for wasting vučić 
 the stories in which local progressive champions are raised while vučić defend him how he poor nothing in belgrade knows about the weeks of his own locals 

  while they braid full black bags for belgrade",2020-03-01 19:19:11+00:00,[]
1234253894244536323,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Safe trip girls🎉 #Hurricane,safe trip girls #hurricane,2020-03-01 23:07:14+00:00,[]
1234252303810600961,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Jebote jel su ljudi zaboravili da se raduju ????,fuck did people forget that they are looking forward to,2020-03-01 23:00:55+00:00,[]
1234252119047376896,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",😳,,2020-03-01 23:00:11+00:00,[]
1234250848580067329,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Nemojte da se sekirate,dont have to be sended,2020-03-01 22:55:08+00:00,[]
1234249919734730753,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Obozavam glasanje da gledam,i love voting to watch,2020-03-01 22:51:26+00:00,[]
1234249315230547968,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Jel volite uzicko ?,do you like priteko,2020-03-01 22:49:02+00:00,[]
1234243573505298434,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Fala lutke moje 😘 Ljubi vas Šeki,moja  ljubi ve seki,2020-03-01 22:26:13+00:00,[]
1234235142241210368,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Aj da vidimo sta ce biti 😉 https://t.co/6eH6BORRoO,lets see what will be,2020-03-01 21:52:43+00:00,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1138799753125191683', 'name': 'AJ+'}}]"
1234234995918753793,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Imal nervoze😂😂😂,had nervousness,2020-03-01 21:52:08+00:00,[]
1234209490020556803,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Ko pobedjuje veceras na Beoviziji?,who wins tonight in beovizija,2020-03-01 20:10:47+00:00,[]
1234120167782785024,RS,sr,"Response(data=<User id=41577631 name=Vlado Georgiev - Barba username=VladoGeorgiev>, includes={}, errors=[], meta={})",Sinoć u Herceg Novom. Hvala dragi ljudi. #hercegnovi https://t.co/Xd0oencfpV,last night in herceg novi thank you dear people #hercegnovi,2020-03-01 14:15:51+00:00,[]
1234070144319664128,RS,sr,"Response(data=<User id=1087237020 name=Brankica Stankovic username=brankica_st>, includes={}, errors=[], meta={})","Insajder debata, ponedeljak u 21 h TV N1 https://t.co/pCuG00EzDL",insider debate monday at pm n,2020-03-01 10:57:04+00:00,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839544274442051584', 'name': 'Entertainment'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1072937043393560576', 'name': 'Television', 'description': 'Television'}}]"
1234063846031216640,RS,sr,"Response(data=<User id=324198256 name=ognjen amidzic username=OAmidzic>, includes={}, errors=[], meta={})",pravi trenutak https://t.co/FbNwPnBcjZ,the right moment,2020-03-01 10:32:03+00:00,[]
1234405844550389760,RS,sr,"Response(data=<User id=356450858 name=Александар Вучић username=avucic>, includes={}, errors=[], meta={})","It was an honor to speak at the #AIPAC2020. Serbia, Israel, and the USA can achieve much by working together. @AIPAC #AIPACProud https://t.co/XSCDMHu14H",it was an honor to speak at the #aipac serbia israel and the usa can achieve much by working together #aipacproud,2020-03-02 09:11:02+00:00,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit - Government/Education'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10042671120', 'name': 'AIPAC'}}]"
1234515220468568064,RS,sr,"Response(data=<User id=3036495555 name=Aна Брнабић username=SerbianPM>, includes={}, errors=[], meta={})",We opened the restored Rama Fortress on the Danube. Along with @tika_english1 we have invested around 250 million RSD. We are committed to highlighting Serbia’s unique potential which will be successfully placed on the European and global maps of cultural and tourist destinations https://t.co/zff4qAhMFu,we opened the restored rama fortress on the danube along with we have invested around million rsd we are committed to highlighting serbia’s unique potential which will be successfully placed on the european and global maps of cultural and tourist destinations,2020-03-02 16:25:39+00:00,[]
1234508641283268609,RS,sr,"Response(data=<User id=3036495555 name=Aна Брнабић username=SerbianPM>, includes={}, errors=[], meta={})","Данас смо отворили рестаурирану Рамску тврђаву на Дунаву у шта смо, заједно са @tika_english1 , уложили око 250 милиона динара. Истичемо јединствене потенцијале Србије, којима ћемо се успешно репозиционирати на европској и светској мапи културних и туристичких дестинација. https://t.co/aq5IxFq27z",today we opened the restored rama fortress on the danube which together with invested around million dinars we emphasize the unique potential of serbia which we will successfully reposition on the european and the world map of cultural and tourist destinations,2020-03-02 15:59:30+00:00,[]
1234457413924859904,RS,sr,"Response(data=<User id=205153283 name=Dragan Djilas username=DraganDjilas>, includes={}, errors=[], meta={})","Ž. Mitrović me tužio zbog tvrdnje da je Pink dugovao državi pare za porez.  Sada se vidi da je, dok državi nije plaćao porez, Informeru i Vučićeviću dao milion evra. 

https://t.co/tFbFslhVBf",ž mitrovic sued me for the claim that pink owed the steam state for tax now he can be seen that while the state did not pay taxes informer and vučićevic gave millions euros,2020-03-02 12:35:57+00:00,[]
1234603616260042752,RS,sr,"Response(data=<User id=834073582514888710 name=Marinika Tepić username=MarinikaTepic>, includes={}, errors=[], meta={})","Ova vest trebalo bi da je važnija od Kopaonika i prekookeanskih brifinga:

Srbija izgubila punopravno članstvo u Evropskoj asocijaciji za obezbeđenje kvaliteta u visokom obrazovanju!
Glavni razlog: ugrožena nezavisnost akreditacionih odluka.
I još što šta.
https://t.co/t0VgrgWFeU",this news should be more important than kopaonik and overseas briefings serbia has lost full membership in the european association for quality association in higher education the main reason the endangered independence of accreditation decisions and more what,2020-03-02 22:16:54+00:00,[]
1234527624292118528,RS,sr,"Response(data=<User id=181338564 name=Marija Serifovic username=futomaki>, includes={}, errors=[], meta={})",Lep mi je Beograd nesto veceras,im beautiful belgrade something tonight,2020-03-02 17:14:56+00:00,[]
1234556281127686151,RS,sr,"Response(data=<User id=41577631 name=Vlado Georgiev - Barba username=VladoGeorgiev>, includes={}, errors=[], meta={})",@Roman89865438 @DirektnoRS Hvala,thanks,2020-03-02 19:08:49+00:00,[]
