id,country_code,lang,user,tweet_text_orginal,tweet_text_en,tweet_date,context_annotations
1230639401480466433,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})",@brigantinen @southpasifictrd Bra sakt Rolf!,good slow rolf,2020-02-20 23:44:32+00:00,[]
1230618210103418880,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","Men aja, jag är ju bara en gapig högerpopulist som tramsar, Tacka vet man intellektuella giganter som går att lita på Löfven, Ygeman och Johansson - det är hjärntrusten som ska lösa det etnifierade ghettovåldet i en av de mest omfattande demografiska experimenten i modern tid.",but oh im just a gaping right wing populist who trams thank you know intellectual giants who can be trusted in löfven ygeman and johansson  it is the brain trust that will solve the ethnified ghetto violence in one of the most extensive demographic experiments in modern times,2020-02-20 22:20:19+00:00,[]
1230616373845516288,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","Så nästa gång någon politiker yrar om ""sociala insatser"" (ex Löfven) så borde ju en journalist som inte vill framstå som efterbliven fråga ""Vilka?"" - för de har ingen aning, inte heller socialen har någon aning ännu mindre akademin.

Det känns däremot varmt i magen att säga det.","so the next time any politician is talking about social efforts eg löfven should a journalist who does not want to appear as a question which  because they have no idea nor does the social have no idea even less academy 

 however it feels warm in the stomach to say it",2020-02-20 22:13:01+00:00,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074755369530880001', 'name': 'Journalists', 'description': 'Journalism'}}]"
1230615447478919168,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","När Socialstyrelsen gjorde en översikt av svenska doktorsavhandlingar mellan 1997-2006 så hade inte en enda av dem effektutvärderingar av interventioner inom kriminologi.

De har noll aning om vad som funkar. https://t.co/ZNZGKtyFAV",when the national board of health and welfare made an overview of swedish doctoral dissertations between not a single of them had effect evaluations of interventions in criminology they have zero slightly about what works,2020-02-20 22:09:21+00:00,[]
1230611907675066369,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","Saken är den att vi kan vara kritiska mot att soc gör väldigt lite. Det gör dem till sådan grad att ungdomsvård är en icke-påföljd. Men samtidigt kan vi inte kräva att de ska göra mer pga ""mer"" antyder att det finns fungerande metoder, det gör det ej.
https://t.co/nsbsZun2u3",the thing is that we can be critical of soc doing very little this makes them such that youth care is a nonsanction but at the same time we cannot demand that they do more because of more suggests that there are functioning methods it does not,2020-02-20 21:55:17+00:00,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000280885', 'name': 'PGA Tour Golf', 'description': 'Golfing action from the PGA Tour.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029190485', 'name': 'Live: The Masters PGA Tour Golf', 'description': 'Golfing action from the PGA Tour.'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '10058451351', 'name': 'Puerto Rico Open, First Round', 'description': 'From Coco Beach Golf & Country Club in Rio Grande, Puerto Rico.'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '10058451848', 'name': 'WGC - Mexico Championship, First Round', 'description': 'From Club de Golf Chapultepec in Mexico City.'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '1229506153773551618', 'name': 'Puerto Rico Open, First Round', 'description': ""PGA golfers head to the Coco Beach Golf & Country Club for the Puerto Rico Open's first round. French-born American golfer Martin Trainer returns after winning the 2019 edition by three strokes, and he aims to be the tournament's second repeat champ.""}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '1229506153773580290', 'name': 'WGC - Mexico Championship, First Round', 'description': 'The PGA Tour heads to Mexico City for the first round of the WGC-Mexico Championship. Dustin Johnson defends his 2019 title against a field that includes fellow past winners Adam Scott and Patrick Reed. Johnson owns the course record for this event.'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1229506153773551618', 'name': 'Puerto Rico Open, First Round', 'description': ""PGA golfers head to the Coco Beach Golf & Country Club for the Puerto Rico Open's first round. French-born American golfer Martin Trainer returns after winning the 2019 edition by three strokes, and he aims to be the tournament's second repeat champ.""}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1229506153773580290', 'name': 'WGC - Mexico Championship, First Round', 'description': 'The PGA Tour heads to Mexico City for the first round of the WGC-Mexico Championship. Dustin Johnson defends his 2019 title against a field that includes fellow past winners Adam Scott and Patrick Reed. Johnson owns the course record for this event.'}}]"
1230611115698249728,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","Chockerande upptäckte socialen att detta fick effekt på ökad punktlighet bland ""kunderna"". Go figure.

Det finns så många lågt hängande frukter i de kommunala förvaltningarna så ni anar inte. Särskilt socialen pga ""godhet"".","shockingly the social discovered that this had an effect on increased punctuality among customers go figure 

 there are so many low hanging fruits in the municipal administrations so you have no idea especially the social due to goodness",2020-02-20 21:52:08+00:00,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000280885', 'name': 'PGA Tour Golf', 'description': 'Golfing action from the PGA Tour.'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029190485', 'name': 'Live: The Masters PGA Tour Golf', 'description': 'Golfing action from the PGA Tour.'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '10058451351', 'name': 'Puerto Rico Open, First Round', 'description': 'From Coco Beach Golf & Country Club in Rio Grande, Puerto Rico.'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '10058451848', 'name': 'WGC - Mexico Championship, First Round', 'description': 'From Club de Golf Chapultepec in Mexico City.'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '1229506153773551618', 'name': 'Puerto Rico Open, First Round', 'description': ""PGA golfers head to the Coco Beach Golf & Country Club for the Puerto Rico Open's first round. French-born American golfer Martin Trainer returns after winning the 2019 edition by three strokes, and he aims to be the tournament's second repeat champ.""}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '1229506153773580290', 'name': 'WGC - Mexico Championship, First Round', 'description': 'The PGA Tour heads to Mexico City for the first round of the WGC-Mexico Championship. Dustin Johnson defends his 2019 title against a field that includes fellow past winners Adam Scott and Patrick Reed. Johnson owns the course record for this event.'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1229506153773551618', 'name': 'Puerto Rico Open, First Round', 'description': ""PGA golfers head to the Coco Beach Golf & Country Club for the Puerto Rico Open's first round. French-born American golfer Martin Trainer returns after winning the 2019 edition by three strokes, and he aims to be the tournament's second repeat champ.""}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1229506153773580290', 'name': 'WGC - Mexico Championship, First Round', 'description': 'The PGA Tour heads to Mexico City for the first round of the WGC-Mexico Championship. Dustin Johnson defends his 2019 title against a field that includes fellow past winners Adam Scott and Patrick Reed. Johnson owns the course record for this event.'}}]"
1230609984322404352,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","Följer man inte sin plan ska socialen återrapportera till åklagaren. Detta gjordes aldrig. För hårt tyckte soctanterna.

Det krävdes lite politisk styrning för att få socialen att ställa högerauktoritära omänskliga krav såsom ""hålla tider"" osv.","if you do not follow your plan the social must report to the prosecutor this was never done too hard the soctants thought 

 a little political governance was required to get the social to impose high directional inhuman requirements such as keep times etc",2020-02-20 21:47:38+00:00,[]
1230609982904819723,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","Kommer ihåg när vi gjorde en översyn av kommunens ungdomsvård i Väsby efter maktövertagande. 

Socialtanterna ryckte på axlarna och sa att ungdomarna inte dök upp. Den dagen var han ju på gymmet, och den dagen skulle han sova hos en kompis, och den dagen hade hans mobil dött osv.","remember when we did a review of the municipalitys youth care in väsby after takeover of power 

 the social aunts shrugged their shoulders and said that the young people did not show up that day he was at the gym and that day he would sleep with a friend and that day his mobile had died etc",2020-02-20 21:47:38+00:00,[]
1230606716657688588,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","De urinerade förnedringsrånarna dömdes till den mildare formen ""ungdomsvård"". Vilket är alltså en påföljd som verkställs av socialen på kommunen.

Exempel på ungdomsvård:

Samtal med socialen om kriminalitet
Samtal med socialen om alkohol och droger
Familjesamtal med socialen.","the urinated humiliation loans were sentenced to the milder form youth care which is thus a sanction that is enforced by the social in the municipality 

 examples of youth care 

 conversation with the social about crime 
 conversation with the social about alcohol and drugs 
 family talks with the social",2020-02-20 21:34:39+00:00,[]
1230606715357454352,SE,sv,"Response(data=<User id=104778698 name=Hanif Bali username=hanifbali>, includes={}, errors=[], meta={})","""Sluten ungdomsvård"" som är alltså det allvarligaste påföljden man kan utdöma till 15-18 åringar i Sverige.

7 av 10 av dömda skulle rekommendera sin kompis en placering på avdelningen.
8 av 10 säger att de har trivts på avdelningen.

Källa: Statens institutionsstyrelse","closed youth care which is thus the most serious penalty one can impose on  year olds in sweden 

  out of  out of convicted would recommend their friend a placement in the department 
  out of  say they have thrived in the department 

 source state institution board",2020-02-20 21:34:39+00:00,[]
