id,country_code,lang,user,tweet_text_orginal,tweet_text_en,tweet_date,context_annotations
1234263061361516545,RS,sr,"Response(data=<User id=814504691170246656 name=Ђорђе Вукадиновић username=djordjenspm>, includes={}, errors=[], meta={})",@SajberStole @Resist_Good Тачно,true,2020-03-01 23:43:39+00:00,[]
1234252623450198016,RS,sr,"Response(data=<User id=814504691170246656 name=Ђорђе Вукадиновић username=djordjenspm>, includes={}, errors=[], meta={})",@hrabri_markuze Да. Стоји.,yes it stands,2020-03-01 23:02:11+00:00,[]
1234237007821496320,RS,sr,"Response(data=<User id=814504691170246656 name=Ђорђе Вукадиновић username=djordjenspm>, includes={}, errors=[], meta={})","@Resist_Good Да, да. То.",yes yes that,2020-03-01 22:00:08+00:00,[]
1234236345377267718,RS,sr,"Response(data=<User id=814504691170246656 name=Ђорђе Вукадиновић username=djordjenspm>, includes={}, errors=[], meta={})","@Resist_Good Ма, кога брига🤔 Али, ХВАЛА. (Него, реци ти нама, јесил' за бојкот, или не😀))",ma who cares but thank you than tell you you are for boycott or not,2020-03-01 21:57:30+00:00,[]
1234076938404274177,RS,sr,"Response(data=<User id=814504691170246656 name=Ђорђе Вукадиновић username=djordjenspm>, includes={}, errors=[], meta={})","@Gane_64 А, онда ок😀😀",gane a then ok,2020-03-01 11:24:04+00:00,[]
1234075199781441543,RS,sr,"Response(data=<User id=814504691170246656 name=Ђорђе Вукадиновић username=djordjenspm>, includes={}, errors=[], meta={})","@Gane_64 Ха, ха. Па, теоретски, да😀 Али не и у мом случају, с обзиром да не гласам аутоматски против. Тако да ми звонце не помаже чак ни у то, индиректном смислу.",gane ha ha well theoretically yes but not in my case since im not voting automatically against so the bell does not even help me indirectly terms,2020-03-01 11:17:10+00:00,[]
1234022331074387968,RS,sr,"Response(data=<User id=814504691170246656 name=Ђорђе Вукадиновић username=djordjenspm>, includes={}, errors=[], meta={})","@S18654S @deegitalpunk Колико ти је тачан тај податак за 240 000 хиљада, толико ти је и све остало🤔 А чак и да јесте толика (као што није), то не би био аргумент за било шта.",how exactly this information for thousand is so much for you and everything else and even if it is so much as it it would not be an argument for anything,2020-03-01 07:47:05+00:00,[]
1233958774404255744,RS,sr,"Response(data=<User id=851430707545198593 name=Sergej Trifunović username=WhistlerDick>, includes={}, errors=[], meta={})","Šaban. 
Jer samo je jedan Šaban. 
Ostali su šabani. 
Nevidljiva spona izmedj Nusret Fateh Ali Kana i B. B. Kinga. 😎♥️
https://t.co/10chUoSqBX",saban because only one is a shabby the others are shabble the invisible connection between nusret fateh ali kana and b b king,2020-03-01 03:34:32+00:00,[]
1233931941516398593,RS,sr,"Response(data=<User id=851430707545198593 name=Sergej Trifunović username=WhistlerDick>, includes={}, errors=[], meta={})","@Liverpoolista3 @Kaludjer0 @mad_maxaveli Nevidjeni. 30 godina ja ovo čekam, zaslužio sam. Istina je da je direktor FC Liverpool video moj klip di pevam You’ll never walk alone na Old Trafordu. Tako sam zaradio te benefite.",liverpoolist kaludjer innocent years i am waiting for this i deserve it is true that the director of fc liverpool video my piston di sing youll never walk alone on old trafford so i earned you with benefits,2020-03-01 01:47:54+00:00,[]
1233928433417302017,RS,sr,"Response(data=<User id=851430707545198593 name=Sergej Trifunović username=WhistlerDick>, includes={}, errors=[], meta={})","@soulsurferzz @pokretslobodnih Znam da si mislio na de la Sernu, studenta medicine, nego serem. 😎",free i know you thought of de la serna a medical student than a shit,2020-03-01 01:33:58+00:00,[]
